"Table 2b: Publicly available electric vehicle rapid charging or above devices by local authority per 100,000 population, from October 2019 [Note 1, 3, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains 1 table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local authority / region code,Local authority / region name,"Oct-19
(25kW and above)","Jan-20
(25kW and above)","Apr-20
(25kW and above)","Jul-20
(25kW and above)","Oct-20
(25kW and above)","Jan-21
(25kW and above)","Apr-21
(25kW and above)","July-21
(25kW and above)","Oct-21
(25kW and above)","Jan-22
(25kW and above)","Apr-22
(25kW and above)","July-22
(25kW and above)","Oct-22
(25kW and above)","Jan-23
(25kW and above)","Apr-23
(25kW and above)","Jul-23
(25kW and above)
[Note 4]","Oct-23
(50kW and above)
[Note 4]","Jan-24
(50kW and above)","Apr-24
(50kW and above)","Jul-24
(50kW and above)","Oct-24
(50kW and above) [Note 14]","Jan-25
(50kW and above)",Apr-25 (50kW and above),Jul-25 (50kW and above),Oct-25 (50kW and above),Jan-26 (50kW and above)  [Note 16],Apr-26 (50kW and above),,,,,
E07000144,Broadland,1.5,2.3,2.3,2.3,3.8,3.8,4.6,4.5,5.3,5.3,5.3,28.8,28.8,29.5,28.7,32.5,33.3,31.8,33.3,32.9,32.9,32.9,32.9,31.4,32.1,36.2,35.5,,,,,
E07000145,Great Yarmouth,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,6.0,7.0,11.0,16.0,33.0,28.0,27.0,28.0,28.0,29.8,30.8,,,,,
E07000146,King's Lynn and West Norfolk,2.6,3.3,3.3,3.3,3.3,3.3,9.9,9.9,9.9,9.9,9.9,7.9,8.6,8.4,9.7,10.3,11.0,18.1,26.5,25.7,25.0,24.4,25.7,26.3,31.5,38.4,37.1,,,,,
E07000147,North Norfolk,1.0,1.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,4.8,2.9,4.8,8.7,7.7,5.8,4.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,11.6,19.4,,,,,
E07000148,Norwich,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.9,4.9,4.9,5.6,9.8,11.3,9.8,10.5,11.9,10.5,17.5,18.2,21.4,20.8,23.5,23.5,27.0,25.6,25.1,21.7,,,,,
E07000149,South Norfolk,1.4,2.9,2.9,2.8,2.8,2.8,3.5,3.5,3.5,6.3,8.4,9.8,7.7,8.4,11.2,11.9,9.1,9.8,9.8,9.0,8.3,11.8,11.1,11.1,13.1,16.2,17.5,,,,,
E10000029,Suffolk,3.3,3.7,3.8,3.8,4.2,4.9,4.9,4.9,4.9,5.3,5.1,6.2,7.0,8.1,10.2,10.7,11.5,14.4,16.8,21.9,24.1,25.1,26.0,27.5,28.1,30.0,32.7,,,,,
E07000200,Babergh,3.3,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,11.9,11.9,19.4,16.2,23.7,22.6,23.7,35.0,35.0,30.8,30.8,30.8,30.8,29.9,29.9,,,,,
E07000244,East Suffolk,1.6,2.4,2.8,2.8,3.6,4.0,4.0,4.0,4.0,4.0,4.4,4.0,3.6,4.1,7.3,6.9,6.1,12.2,14.6,17.0,22.3,24.3,23.5,26.7,27.5,28.0,31.6,,,,,
E07000202,Ipswich,2.2,2.2,2.2,2.2,2.2,2.9,2.9,2.9,2.9,2.9,2.2,2.9,2.9,2.9,3.6,8.6,6.4,6.4,18.6,21.5,20.1,22.3,23.7,24.4,24.4,32.8,35.6,,,,,
E07000203,Mid Suffolk,1.0,1.0,1.0,1.0,1.0,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.9,3.9,3.9,5.8,5.8,7.7,7.6,7.6,7.6,8.5,16.1,18.9,25.3,28.9,,,,,
E07000245,West Suffolk,7.8,7.8,7.8,7.8,8.4,8.4,8.4,8.5,8.5,10.2,9.6,14.1,14.1,18.3,18.3,18.8,19.9,24.3,19.9,30.2,33.5,35.7,39.0,35.7,35.7,33.4,35.5,,,,,
E12000007,London,3.6,4.3,4.8,4.9,5.2,5.7,6.5,6.8,7.7,8.0,8.2,8.4,9.1,9.7,10.3,10.7,11.2,11.9,13.0,13.7,14.0,15.1,15.4,16.1,16.5,16.8,18.7,,,,,
E13000001,Inner London,3.7,4.7,5.2,5.3,5.6,6.2,7.0,7.1,8.5,8.8,8.9,8.9,9.0,10.3,10.4,10.7,10.9,11.0,11.6,11.7,11.9,12.1,12.9,12.6,12.9,13.5,14.8,,,,,
E09000007,Camden,1.5,1.9,1.9,1.9,2.2,3.3,5.2,3.9,3.9,3.9,3.9,3.9,5.0,6.7,6.2,5.7,5.7,5.2,5.7,5.5,5.5,5.5,5.5,5.0,5.0,14.3,14.3,,,,,
E09000001,City of London,11.5,11.5,11.5,10.3,10.3,10.3,10.3,9.1,9.1,9.1,9.1,36.6,36.6,81.2,81.2,81.2,11.6,81.2,81.2,64.5,64.5,64.5,64.5,64.5,64.5,46.3,46.3,,,,,
E09000012,Hackney,4.3,4.3,4.3,4.3,5.3,6.0,6.4,6.4,6.4,6.1,6.1,6.1,5.7,6.2,6.2,6.5,8.5,8.1,8.8,8.8,8.4,8.8,8.0,6.9,7.7,7.1,8.6,,,,,
E09000013,Hammersmith and Fulham,6.5,15.1,18.3,18.4,20.0,20.0,22.1,21.2,21.2,25.1,27.2,27.2,26.7,26.7,26.7,27.8,28.9,28.9,31.1,31.3,31.3,30.8,30.8,30.8,31.3,30.2,35.5,,,,,
E09000014,Haringey,2.6,4.1,4.1,4.5,4.1,5.6,5.6,5.6,7.1,8.6,8.6,8.6,8.6,9.8,10.2,11.0,11.0,11.0,12.9,13.0,13.0,13.4,14.1,13.0,13.4,14.4,15.2,,,,,
E09000019,Islington,5.9,7.5,8.4,8.2,8.7,8.7,9.5,9.3,10.1,9.7,9.3,8.9,9.3,11.5,12.5,12.0,12.0,13.4,14.8,13.2,12.7,15.0,15.4,14.1,12.3,13.9,15.7,,,,,
E09000020,Kensington and Chelsea,1.3,1.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.5,2.8,3.5,3.5,2.8,2.8,2.7,2.1,1.4,2.1,2.1,0.7,1.4,2.8,,,,,
E09000022,Lambeth,2.8,4.6,5.5,5.5,5.5,5.8,5.5,5.9,5.9,6.2,6.2,6.2,6.5,6.6,6.6,6.6,6.9,6.9,6.9,6.9,8.2,7.6,9.8,11.7,11.7,12.3,10.4,,,,,
E09000023,Lewisham,2.3,2.3,3.3,3.9,3.9,3.9,5.6,6.9,6.9,6.9,6.9,5.9,5.9,10.3,10.3,11.7,11.7,11.7,11.7,11.7,14.1,14.1,13.7,13.4,17.1,16.6,16.9,,,,,
E09000025,Newham,1.4,2.8,3.1,3.7,4.2,4.0,4.0,3.7,3.7,3.9,3.7,3.4,3.4,3.1,3.1,3.4,3.4,3.4,3.7,5.6,5.6,5.3,6.1,6.4,7.0,7.7,8.0,,,,,
E09000028,Southwark,4.1,3.8,4.1,4.1,4.4,4.7,7.5,7.2,7.5,7.5,7.5,8.1,8.1,8.5,8.5,8.2,8.8,7.8,7.8,7.7,8.7,8.0,9.0,9.6,9.6,10.5,14.9,,,,,
E09000030,Tower Hamlets,3.5,3.8,3.5,3.4,3.4,3.4,3.7,6.0,6.6,6.0,6.0,6.0,6.0,5.8,6.1,5.1,5.1,8.0,8.3,8.6,8.3,8.9,9.8,9.5,10.1,9.6,10.2,,,,,
E09000032,Wandsworth,4.6,4.0,4.0,3.9,3.9,3.9,4.2,3.9,7.6,7.6,7.6,7.6,8.5,9.4,9.7,10.4,11.0,11.0,11.0,11.2,11.2,12.2,14.6,11.5,12.2,11.3,14.2,,,,,
E09000033,Westminster,8.6,9.0,9.4,9.2,9.6,13.4,15.3,14.8,25.6,26.7,27.1,27.1,26.3,35.1,35.6,36.6,37.1,33.2,34.6,34.1,33.1,33.6,34.5,36.0,33.6,32.4,32.9,,,,,
E13000002,Outer London,3.6,4.1,4.6,4.6,4.9,5.5,6.1,6.6,7.1,7.5,7.7,8.1,9.2,9.3,10.2,10.7,11.4,12.4,13.9,15.0,15.2,17.0,17.0,18.4,18.8,18.9,21.1,,,,,
E09000002,Barking and Dagenham,0.5,0.5,0.9,0.9,0.9,2.3,4.2,4.2,4.2,4.2,4.2,4.2,5.1,5.0,6.9,6.9,6.9,5.9,5.9,8.6,8.6,8.6,9.1,8.6,8.6,13.7,14.6,,,,,
E09000003,Barnet,5.4,5.1,5.1,5.1,5.6,5.6,5.6,5.8,6.0,6.3,5.8,5.3,7.0,9.3,9.3,12.1,12.4,12.9,16.0,18.2,20.6,22.1,21.8,23.6,23.1,20.7,25.2,,,,,
E09000004,Bexley,2.8,3.2,3.2,3.2,3.2,4.8,5.2,5.2,6.8,8.8,8.8,8.8,8.4,8.5,8.5,8.1,11.8,11.4,13.8,13.7,13.7,15.7,21.8,24.6,20.6,19.5,25.0,,,,,
E09000005,Brent,4.2,4.2,4.8,4.9,4.9,4.9,5.8,5.8,6.4,6.4,5.8,5.5,5.5,5.6,5.9,5.9,5.9,5.0,5.3,4.7,4.7,5.9,5.9,8.5,7.6,8.5,9.9,,,,,
E09000006,Bromley,2.4,2.4,3.0,3.3,4.2,4.2,4.5,4.8,5.1,5.1,5.4,5.4,10.5,10.9,12.4,12.1,11.8,11.8,15.5,15.8,17.0,17.3,12.7,14.9,18.8,18.2,20.0,,,,,
E09000008,Croydon,4.7,4.9,5.2,5.2,5.9,6.2,5.9,5.7,5.9,6.9,6.2,8.5,11.6,11.5,12.8,11.8,12.3,14.9,14.9,17.1,17.6,18.1,15.6,16.3,16.6,21.3,24.9,,,,,
E09000009,Ealing,3.5,8.5,9.1,9.1,9.1,10.5,10.8,10.9,10.9,10.6,10.3,10.3,10.3,9.8,12.0,11.7,12.3,12.0,12.3,14.9,14.9,16.5,17.3,16.8,16.2,15.8,16.6,,,,,
E09000010,Enfield,2.1,3.6,4.2,4.2,4.2,4.5,4.8,6.0,6.3,6.3,7.2,7.5,7.5,7.6,8.2,7.6,12.1,12.4,13.0,15.3,15.6,15.6,15.3,21.4,22.6,22.9,22.6,,,,,
E09000011,Greenwich,5.2,5.2,9.8,9.7,10.4,10.8,11.1,11.1,16.6,17.3,18.0,20.1,19.7,19.4,19.7,20.1,20.1,19.4,19.7,20.3,20.3,22.7,22.0,22.0,24.7,24.4,26.4,,,,,
E09000015,Harrow,1.6,1.6,1.6,2.0,1.6,2.0,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.8,4.2,4.6,5.4,5.4,6.1,7.3,7.7,10.7,10.7,13.0,10.3,9.6,11.8,,,,,
E09000016,Havering,2.3,2.3,2.3,2.3,2.7,3.5,5.4,5.4,5.4,5.4,5.0,5.0,9.6,9.5,13.7,14.1,15.6,14.5,15.3,18.9,19.3,20.0,21.5,21.9,23.4,22.1,23.5,,,,,
E09000017,Hillingdon,8.5,9.5,9.5,9.5,9.1,9.1,10.4,13.9,13.9,13.9,13.6,13.3,13.3,13.5,15.4,21.3,22.0,23.3,25.9,25.1,24.5,26.7,26.4,27.0,27.4,26.1,31.0,,,,,
E09000018,Hounslow,5.9,5.9,6.3,6.3,7.0,7.4,7.4,8.5,8.8,8.8,9.6,12.5,13.2,12.5,12.5,13.2,13.2,24.7,33.3,33.4,32.7,34.1,34.4,33.4,34.4,34.1,37.4,,,,,
E09000021,Kingston upon Thames,1.1,1.1,1.1,1.1,2.3,4.5,4.5,4.5,4.5,4.5,8.9,8.9,8.9,9.5,9.5,11.3,10.7,12.5,11.3,11.3,12.5,25.5,26.1,26.7,26.7,28.4,31.8,,,,,
E09000024,Merton,2.9,2.9,2.9,2.9,3.4,4.8,6.3,8.2,8.2,8.2,8.2,8.2,8.2,7.9,8.4,8.4,7.9,7.9,7.9,7.9,7.9,10.2,9.8,10.7,12.1,11.4,11.9,,,,,
E09000026,Redbridge,4.6,4.9,5.3,5.2,5.2,5.9,5.9,7.9,7.9,9.2,9.2,8.8,10.5,10.3,9.7,9.7,10.0,10.0,10.0,10.3,10.0,11.6,12.2,11.9,12.5,12.8,13.4,,,,,
E09000027,Richmond upon Thames,2.5,2.5,2.5,2.5,3.0,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.5,4.6,5.6,5.6,6.7,9.7,9.7,10.3,9.2,11.3,12.8,13.3,12.3,15.8,15.8,,,,,
E09000029,Sutton,2.9,2.9,2.9,2.9,2.9,3.4,4.8,4.8,4.8,6.3,6.3,8.7,8.7,8.6,8.6,9.1,9.5,10.0,15.3,15.7,16.2,19.5,19.0,21.4,22.4,19.6,22.4,,,,,
E09000031,Waltham Forest,0.4,0.4,0.7,0.7,1.4,1.4,2.5,2.9,2.9,2.9,4.7,4.7,4.7,4.7,5.0,5.4,5.0,6.8,6.8,8.3,8.3,9.1,8.7,13.0,15.2,14.7,16.1,,,,,
E12000008,South East,5.1,5.3,5.6,5.8,6.2,6.9,7.7,7.7,8.2,8.6,9.1,9.5,10.3,10.5,12.2,13.5,13.7,15.2,17.2,17.8,19.5,21.4,23.1,24.4,24.8,25.0,26.7,,,,,
E06000036,Bracknell Forest,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.6,1.6,1.6,1.6,2.4,1.6,2.4,1.6,2.4,4.0,5.6,5.5,5.5,11.0,12.6,21.3,22.9,25.2,29.8,,,,,
E06000043,Brighton and Hove,0.3,0.3,0.3,0.3,1.0,0.7,1.4,3.4,4.5,4.5,5.8,5.8,6.2,5.8,6.2,5.8,6.2,5.4,6.9,7.2,22.3,14.4,7.6,7.9,7.9,7.8,7.4,,,,,
E06000046,Isle of Wight,1.4,2.1,2.1,2.1,1.4,1.4,1.4,2.1,2.1,2.1,2.1,3.5,4.2,4.3,7.7,7.8,9.2,9.2,9.2,9.2,9.9,11.4,11.4,12.1,14.9,14.8,15.5,,,,,
E06000035,Medway,1.8,1.8,2.2,2.2,2.2,1.8,2.5,2.5,2.1,1.8,2.5,2.5,2.5,2.9,5.7,3.9,3.2,2.9,21.8,20.9,21.9,21.9,21.9,24.1,23.4,22.6,23.9,,,,,
E06000042,Milton Keynes,32.8,32.8,33.1,33.0,34.5,42.3,43.0,43.3,45.5,44.8,47.7,40.0,40.7,40.9,2.9,52.4,50.0,50.0,57.9,58.5,65.7,77.7,80.8,84.2,81.1,69.3,73.9,,,,,
E06000044,Portsmouth,0.9,0.9,0.9,0.9,0.9,0.9,1.4,2.3,2.3,2.3,2.3,2.3,2.3,3.4,45.5,3.4,3.4,5.8,6.3,6.2,9.1,13.0,13.9,13.4,13.9,13.5,14.5,,,,,
E06000038,Reading,6.7,3.7,4.3,4.3,4.9,4.9,4.9,6.2,6.2,6.9,5.6,5.6,13.1,11.5,3.4,12.1,15.0,16.7,17.9,17.7,17.2,17.7,17.7,20.6,18.3,17.5,22.4,,,,,
E06000039,Slough,8.7,14.1,14.1,14.0,14.0,19.4,20.1,20.7,20.7,23.4,24.1,24.1,24.1,22.1,13.3,32.9,35.4,25.3,28.4,29.5,32.0,16.3,16.3,21.4,20.7,19.7,19.1,,,,,
E06000045,Southampton,1.2,1.2,1.6,1.6,2.0,2.0,2.4,2.0,4.0,4.0,4.0,4.7,4.7,4.9,22.1,4.4,4.4,4.0,5.7,7.1,7.9,8.7,8.7,8.3,9.9,9.3,9.3,,,,,
E06000037,West Berkshire,17.7,17.7,18.3,18.3,18.3,18.3,19.6,21.5,22.7,22.7,23.3,23.3,25.2,32.1,4.9,43.9,49.4,53.7,64.3,62.3,53.6,59.8,69.0,73.4,77.1,67.2,67.2,,,,,
E06000040,Windsor and Maidenhead,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1.3,2.0,2.0,2.0,2.0,2.0,1.9,39.5,1.9,3.9,3.9,5.2,5.8,5.8,6.5,7.1,7.1,7.1,6.9,10.1,,,,,
E06000041,Wokingham,16.1,18.5,18.5,18.1,18.7,19.9,20.5,20.1,20.1,20.1,20.1,20.7,21.8,21.3,1.9,24.1,24.7,25.8,27.5,27.1,27.1,27.1,28.2,28.7,27.6,26.7,27.2,,,,,
E06000060,Buckinghamshire,3.0,3.1,4.1,4.0,4.6,5.0,6.1,6.0,6.0,6.4,6.6,6.6,7.7,7.4,23.0,9.2,7.9,8.5,9.4,11.8,12.3,12.3,13.0,14.1,14.1,16.9,19.4,,,,,
E10000011,East Sussex,2.9,3.1,3.1,3.2,3.4,3.2,3.4,3.8,3.8,4.8,4.8,4.5,4.7,6.2,6.8,7.5,8.2,9.0,9.1,11.8,11.6,11.8,12.0,12.5,14.2,15.7,17.7,,,,,
E07000061,Eastbourne,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.9,5.9,11.8,11.8,13.8,14.8,15.6,14.7,14.7,14.7,14.7,18.6,25.9,26.9,,,,,
E07000062,Hastings,4.3,4.3,4.3,4.3,5.4,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,13.2,14.3,15.4,15.4,14.3,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,,,,,
E07000063,Lewes,2.9,3.9,3.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,2.9,2.9,3.0,3.0,2.0,2.0,2.0,3.0,9.9,8.9,8.9,8.9,8.9,8.9,8.8,10.7,,,,,
E07000064,Rother,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,2.1,8.3,8.3,8.3,8.3,8.6,8.6,8.6,8.6,9.6,9.6,15.9,15.9,14.9,17.0,18.1,18.1,17.7,21.8,,,,,
E07000065,Wealden,1.9,1.9,1.9,1.9,1.9,1.9,2.5,3.1,3.1,3.1,3.1,3.1,3.7,3.7,4.4,3.1,5.6,6.8,6.8,7.4,8.0,9.2,8.6,9.8,12.9,13.8,16.2,,,,,
E10000014,Hampshire,6.8,6.7,7.3,7.5,7.7,7.9,8.2,7.8,8.8,9.1,9.3,10.8,11.4,11.4,12.2,12.4,12.7,14.1,15.9,16.6,20.0,23.4,27.7,30.1,29.8,30.7,31.6,,,,,
E07000084,Basingstoke and Deane,5.1,4.0,4.0,4.5,4.0,5.1,6.2,6.2,8.4,8.4,9.6,9.6,10.1,9.7,10.8,11.8,11.3,11.3,12.9,11.2,14.4,26.1,25.6,26.1,26.6,30.6,30.6,,,,,
E07000085,East Hampshire,12.4,12.4,12.4,13.1,13.1,13.1,13.1,12.9,12.9,12.9,12.9,12.9,12.9,12.7,11.9,13.5,13.5,13.5,14.3,16.5,14.9,16.5,17.3,20.4,20.4,20.8,25.4,,,,,
E07000086,Eastleigh,1.5,1.5,1.5,1.5,2.2,2.2,2.2,2.2,1.5,1.5,1.5,2.2,4.4,4.4,5.8,5.1,5.1,5.1,6.6,5.8,10.1,11.5,12.2,13.7,16.6,16.8,14.7,,,,,
E07000087,Fareham,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,6.0,6.0,6.0,7.7,7.7,7.8,8.7,7.8,7.8,7.8,9.6,13.1,14.0,13.1,16.6,16.6,16.6,16.5,19.1,,,,,
E07000088,Gosport,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,5.9,5.9,5.9,5.9,6.1,7.3,7.3,7.3,7.3,7.3,9.7,17.0,14.6,15.8,34.0,35.2,32.6,32.6,,,,,
E07000089,Hart,13.5,15.6,19.7,19.6,19.6,19.6,19.6,19.5,20.5,20.5,18.4,20.5,20.5,19.9,19.9,19.9,20.9,24.9,32.9,32.7,56.5,64.4,66.4,69.4,62.4,69.8,65.9,,,,,
E07000090,Havant,11.1,11.1,12.7,12.7,12.7,12.7,12.7,12.7,14.2,14.2,14.2,14.2,14.2,14.5,14.5,14.5,14.5,16.9,16.9,16.8,16.8,20.8,20.0,20.0,20.8,21.3,22.0,,,,,
E07000091,New Forest,1.7,1.7,1.7,1.7,2.8,2.8,2.8,2.2,2.2,2.8,3.9,3.9,3.9,4.5,6.2,7.4,10.8,12.5,11.3,10.8,14.2,19.3,27.3,30.1,25.6,28.4,29.5,,,,,
E07000092,Rushmoor,4.2,4.2,4.2,4.2,5.3,5.3,6.3,6.4,10.6,11.7,11.7,14.8,14.8,15.0,17.0,17.0,17.0,17.0,18.0,19.8,17.8,15.8,14.8,13.9,19.8,18.9,20.8,,,,,
E07000093,Test Valley,7.2,6.4,8.0,8.7,8.7,8.7,8.7,7.1,7.9,7.9,7.9,8.7,8.7,8.4,8.4,8.4,11.4,15.2,18.3,24.1,25.6,27.8,25.6,27.8,28.6,24.4,31.8,,,,,
E07000094,Winchester,12.1,12.1,12.1,12.8,12.8,12.8,13.6,11.9,13.5,13.5,14.3,23.8,27.8,27.4,27.4,27.4,22.7,25.8,30.5,28.4,29.2,30.7,65.3,66.0,63.7,63.4,60.5,,,,,
E10000016,Kent,4.1,4.3,4.4,4.5,5.1,6.3,7.0,6.8,7.4,7.9,8.9,9.3,10.0,10.2,12.8,13.9,13.5,15.0,15.8,16.1,17.3,20.6,25.4,26.6,26.7,27.3,29.3,,,,,
E07000105,Ashford,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.5,7.5,5.3,5.3,6.0,5.9,11.8,14.0,15.5,19.2,18.4,21.3,21.3,,,,,
E07000106,Canterbury,0.6,0.6,1.2,1.2,1.8,1.8,2.4,1.8,2.4,2.4,2.4,3.6,3.6,3.2,12.1,7.7,8.3,12.8,14.1,15.9,15.9,14.0,14.0,14.6,14.6,16.0,15.4,,,,,
E07000107,Dartford,8.2,10.0,10.0,9.8,9.8,21.3,26.6,22.8,22.8,24.6,35.1,35.1,35.1,34.3,34.3,34.3,36.0,34.3,36.0,35.3,37.0,36.2,51.3,52.2,53.9,61.6,63.2,,,,,
E07000108,Dover,1.7,1.7,1.7,1.7,1.7,1.7,1.7,4.2,4.2,3.4,5.1,5.1,11.8,11.1,19.7,21.4,22.3,23.2,23.2,23.0,28.9,29.8,43.4,42.6,42.6,41.7,45.9,,,,,
E07000112,Folkestone and Hythe,13.3,13.3,13.3,13.3,13.3,14.2,17.7,17.6,17.6,17.6,17.6,18.5,17.6,17.3,17.3,21.8,18.2,19.1,19.1,18.1,22.7,23.6,39.0,42.6,42.6,41.8,47.1,,,,,
E07000109,Gravesham,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,3.7,3.7,3.7,3.7,3.7,3.7,5.6,5.6,5.6,6.6,6.5,6.5,10.3,10.3,11.2,15.0,14.5,13.6,,,,,
E07000110,Maidstone,8.8,9.4,10.0,9.9,12.8,12.8,12.8,12.7,12.7,12.7,12.7,13.9,14.4,14.1,14.7,18.1,15.3,17.5,18.7,18.8,17.7,28.3,32.1,29.4,29.4,28.2,28.2,,,,,
E07000111,Sevenoaks,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.1,10.7,10.7,10.7,10.7,10.7,11.6,12.4,12.4,13.2,13.2,15.7,16.5,14.9,14.0,14.0,15.7,17.3,17.1,17.9,,,,,
E07000113,Swale,0.7,0.7,0.7,0.7,2.0,2.0,2.0,2.0,2.0,3.3,4.6,4.6,4.6,6.6,11.8,11.8,10.5,11.8,11.2,11.0,10.3,20.7,28.5,34.3,31.7,30.3,31.6,,,,,
E07000114,Thanet,2.8,2.8,2.8,2.8,3.5,4.9,4.9,4.9,4.9,4.9,4.9,4.9,6.4,6.4,6.4,7.1,7.1,12.1,11.4,15.6,15.6,17.1,17.1,17.8,14.9,15.4,20.3,,,,,
E07000115,Tonbridge and Malling,3.8,3.8,3.8,5.3,5.3,7.6,8.3,7.5,7.5,9.8,9.8,9.8,9.8,9.8,10.6,12.8,14.4,15.1,15.1,14.2,14.2,16.5,19.5,17.2,21.0,22.7,26.3,,,,,
E07000116,Tunbridge Wells,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.4,3.4,3.4,3.4,5.0,6.1,7.8,9.5,9.5,11.2,15.6,13.8,15.5,22.4,23.3,25.9,24.1,22.6,27.6,,,,,
E10000025,Oxfordshire,5.2,5.5,5.5,5.9,6.4,6.7,10.4,10.5,10.5,10.8,10.6,13.1,14.9,14.6,19.0,20.5,21.7,23.4,24.6,24.8,27.1,29.4,27.5,27.6,30.5,30.7,31.7,,,,,
E07000177,Cherwell,4.0,4.7,4.7,4.7,6.0,6.6,19.9,19.8,19.8,19.8,19.8,21.7,21.7,20.4,37.7,41.4,47.6,48.2,53.8,53.6,55.4,60.9,53.6,53.6,64.0,61.0,65.7,,,,,
E07000178,Oxford,1.3,2.6,2.6,2.6,3.3,3.3,3.3,3.3,3.3,4.6,4.6,13.9,21.1,20.0,21.2,21.9,21.9,23.7,24.4,25.7,25.1,25.7,22.7,20.8,23.9,23.5,25.9,,,,,
E07000179,South Oxfordshire,14.2,14.2,14.2,14.1,14.1,14.8,14.8,14.6,14.6,14.6,14.6,14.6,14.6,14.7,14.7,17.3,16.7,17.3,17.3,17.1,19.1,19.1,19.8,20.4,20.4,19.8,20.5,,,,,
E07000180,Vale of White Horse,3.0,1.5,1.5,3.7,3.7,3.7,8.1,8.0,8.0,8.0,8.7,8.7,10.2,10.8,10.8,12.2,12.2,12.9,12.2,12.0,16.2,19.7,20.4,21.8,21.1,26.8,24.1,,,,,
E07000181,West Oxfordshire,3.6,4.6,4.6,4.5,4.5,4.5,4.5,5.4,5.4,5.4,3.6,3.6,3.6,3.5,5.2,3.5,3.5,8.7,8.7,8.6,13.7,15.4,16.2,17.1,17.1,16.5,15.7,,,,,
E10000030,Surrey,3.4,3.7,4.1,4.4,5.3,5.5,5.7,5.6,5.9,6.1,6.6,7.9,8.3,8.2,9.9,12.3,12.0,13.8,13.9,14.6,14.4,17.6,17.6,18.6,18.3,19.2,21.0,,,,,
E07000207,Elmbridge,10.2,10.2,10.2,11.7,15.4,15.4,16.1,16.0,16.0,16.0,16.0,16.0,16.8,16.5,16.5,17.9,17.9,28.0,25.8,26.4,30.7,40.7,40.7,43.6,43.6,43.0,44.4,,,,,
E07000208,Epsom and Ewell,0.0,0.0,0.0,0.0,1.2,1.2,1.2,1.2,2.5,2.5,2.5,2.5,2.5,2.5,6.2,7.4,8.6,8.6,9.9,8.6,8.6,9.9,11.1,8.6,8.6,8.4,9.6,,,,,
E07000209,Guildford,1.4,1.4,1.4,1.3,2.0,2.7,2.7,2.7,2.7,3.3,5.3,12.0,12.0,12.5,20.8,22.2,20.8,20.1,20.1,22.0,15.1,26.1,21.3,24.7,24.7,23.1,27.1,,,,,
E07000210,Mole Valley,1.1,2.3,2.3,2.3,2.3,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,5.7,14.8,16.0,16.0,14.8,22.8,22.8,27.3,28.5,29.6,26.2,27.1,28.2,,,,,
E07000211,Reigate and Banstead,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,4.0,5.4,5.3,6.6,8.6,7.3,7.3,5.9,6.5,7.8,7.8,7.8,8.5,8.5,9.4,8.8,,,,,
E07000212,Runnymede,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,5.5,5.7,8.0,16.0,17.1,19.4,18.2,18.1,15.8,16.9,16.9,16.9,15.8,16.3,23.9,,,,,
E07000213,Spelthorne,3.0,3.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,9.0,9.0,8.7,8.7,9.7,7.8,10.7,10.7,10.6,11.6,11.6,13.5,14.5,13.5,13.1,15.9,,,,,
